Titulo;Autor;Año;Editorial;País;Referencia;Linea;Categoria
Historia del Arte. La edad media II Vol. 4 Fascículo. 80;Planeta de Agostini;1998;Planeta de Agostini;España;AFD-034; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. La edad media II Vol. 4 Fascículo. 81;Planeta de Agostini;1998;Planeta de Agostini;España;AFD-035; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. La edad media II Vol. 4 Fascículo. 82;Planeta de Agostini;1998;Planeta de Agostini;España;AFD-036; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. La edad media II Vol. 4 Fascículo. 83;Planeta de Agostini;1998;Planeta de Agostini;España;AFD-037; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. Renacimiento I Vol. 5 Fascículo. 87;Planeta de Agostini;1998;Planeta de Agostini;España;AFD-038; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Professional Techniques for the weddings photographer;Schaub, George;1985;Amphoto;EE.UU;AFD-039; Cultura y espacio urbano;Arte, Fotografía y Dibujo
EF lens work III. The eyes of EOS;Canon;2006;Canon INC;Japón;AFD-040; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Félix Vallotton 1865 - 1925;Banco de la República;;Banco de la República;Colombia;AFD-041; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Leonardo Architect Ed.1;Pedretty, Carlo;1985;Rizzoli;EE.UU;AFD-042; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Dibujo para diseñadores. Técnicas, bocetos de concepto, sistemas de información, ilustración, medios, presentaciones, diseño por ordenador;Pipes, Alan;2008;Blume;China;AFD-043; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Muy interesante Especial No. 3;Civita, Carlos;1988;Editora cinco;Colombia;AFD-044; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Encliclopedia Salvat de la Fotografía Creativa. Fundamentos Técnicos I;Salvat;1983;Salvat editores S.A;España;AFD-045; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Enciclopedia Salvat de la Fotografía Creativa. Fundamentos Técnicos II;Salvat;1983;Salvat editores S.A;España;AFD-046; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia de la fotografía;Newhall, Beaumont;2002;Gustavo Gili;España;AFD-047; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Tesoros del arte chino ;Colsubsidio;1998;Colsubsidio;Colombia;AFD-048; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Como pintar a la acurela;Parramón, José M. y Fresquet, Guillem;1992;Parramón Editores;España;AFD-049; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Fotografía de lenceria;Hick, Roger y Schultz, Frances;1995;Index Book;España;AFD-050; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Fotografía de Boda;Hilton, Jonathan;1999;Provisión Pte;España;AFD-051; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Glamour Shots;Hick, Roger y Schultz, Frances;1994;Provisión Pte;España;AFD-052; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Manual de dibujo técnico 1;Giesecke, Frederick E.;1986;Interaméricana;España;AFD-053; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Manual de dibujo técnico 2;Giesecke, Frederick E.;1986;Interaméricana;España;AFD-054; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Manual de dibujo técnico 3;Giesecke, Frederick E.;1986;Interaméricana;España;AFD-055; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Manual de dibujo técnico 4;Giesecke, Frederick E.;1986;Interaméricana;España;AFD-056; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Nuevo aprender a dibujar con el lado de recho del cerebro;Edwards, Betty;1999;Urano ;España;AFD-057; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Manual completo Fotografía;"Lovell, Ronald; Zwahlen, Fred; Folts, James";1998;Celeste Ediciones;España;AFD-058; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Sol, Luz y Sombra;López, Francisco Guillermo;1992;Acaditec;Colombia;AFD-059; Cultura y espacio urbano;Arte, Fotografía y Dibujo
La representación axonométrica;López, Francisco Guillermo;1992;Acaditec;Colombia;AFD-060; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Posibilidades de la perspectiva;López, Francisco Guillermo;1992;Acaditec;Colombia;AFD-061; Cultura y espacio urbano;Arte, Fotografía y Dibujo
La arquitecctura del arte pintura de Alfonso Ariza;Colsubsidio;2000;Colsubsidio;Colombia;AFD-062; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Dibujo Técnico - Introducción al dibujo;"Gallego, Gosman; Borja, Jairo, Leon Valencia, Guillermo";2000;Sena;Colombia;AFD-063; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Diccionario de directores de cine;Torres, Augusto M.;1992;Alianza ediciones del prado;España;AFD-064; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Extra cámara;CONAC;1998;Gráficas Acea;Venezuela;AFD-065; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Trampas de Luz. Expediciones por los orígenes del cine;Universidad Nacional;2007;Editorial Unibiblos;Colombia;AFD-066; Cultura y espacio urbano;Arte, Fotografía y Dibujo
El cine y sus metáforas. Las poéticas de la imagen;García Saucedo, Jaime;1995;Rojaseberhardeditores Ltda.;Colombia;AFD-067; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Cokin Creative Filter System;Cokin Creative Filter System;;Cokin Photo Video Accessories;;AFD-068; Cultura y espacio urbano;Arte, Fotografía y Dibujo
The Manual of indoor photography;Freeman, Michael;1980;Pinter industria gráfica;España;AFD-069; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Diccionario de término de arte. El vocabulario específico de la escultura, la arquitectura y las artes decorativas;Fatas, Guillermo y Borrás, Gonzalo M.;1993;Alianza ediciones del prado;España;AFD-070; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Punto y línea sobre el plano. Contribución al análisis de los elementos pictóricos;Kandisky, Nina;1984;Ediciones de bolsillo ;Colombia;AFD-071; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Distorsión constructiva. Nuevo concepto de perspectiva y normas académicas en Arte;Butz, N.;1985;L.E.D.A Las ediciones de arte;España;AFD-072; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Haga croquis. Apuntes rápidos a lápiz, con pluma y a la acuarela;Dee S'agaro, J.;1985;L.E.D.A Las ediciones de arte;España;AFD-073; Cultura y espacio urbano;Arte, Fotografía y Dibujo
El libro latinoamericano. Historia del Arte y de la Arquitectura. Dibujo Técnico;Rosa Mendoa, Guillermo;1984;;;AFD-074; Cultura y espacio urbano;Arte, Fotografía y Dibujo
XV Salón de arte. Teatros de operación: Znas en fricción;BBVA;2007;Editora Géminis;Colombia;AFD-076; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Architectural expressions. A photographic Reassessment of fun in architecture ;Mackerrich, Tony y Marckertich, Peter;2001;Wiley-Academy;Reino Unido;AFD-077; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Textos de estética taoista;Racionero, Luis;1975;Barral Editores S.A;España;AFD-078; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Artbo. Feria internacional del Arte de Bogotá 2005;Artbo;2005;Panamericana Formas e Impresos S.A;Colombia;AFD-079; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Un libro de Popuralejo, cooperativa;"Montesdedca, Jorge; Ayala, Roberto; Herrada, Arnulfo";2009;Industruas Gráficas Darbel S.A;Colombia;AFD-080; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Ariel. Revista de Artes y Letras de Israel;Weill, Asher;1994;Hamakor Printing House, Ltd;Jerusalem;AFD-081; Cultura y espacio urbano;Arte, Fotografía y Dibujo
La paradoja de la fealdad. Preguntas fotográficas sobre la apariencia bella de lo feo o la fea apariencia de lo bello;Franke, Annelie;2016;Universidad de los Andes;Colombia;AFD-082; Cultura y espacio urbano;Arte, Fotografía y Dibujo
La Pantalla;Rincón Medina, Hernando;2001;Editorial Unibiblos;Colombia;AFD-083; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Muerte Barroca. Retratos de Monjas Coronadas;Banco de la República;2016;Banco de la República;Colombia;AFD-084; Cultura y espacio urbano;Arte, Fotografía y Dibujo
La vida oculta del cuadro. Misterios de la pintura;Gemz Claire, Herbert;1983;L.E.D.A Las ediciones de arte;España;AFD-085; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Técnicas de pintura y diseño. Oleo, el color y la luz;;1992;Gráficas reunidas;España;AFD-086; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Arte y actividades para niños ¡Dibuja!;Solga, Kim;1996;Nomos;Gamma S.A;AFD-087; Cultura y espacio urbano;Arte, Fotografía y Dibujo
EX - Libris o el arte de identificar sus libros 1470 - 1988;Banco de la República;;Banco de la República;Colombia;AFD-088; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Salón del arte moderno 1975;Banco de la República;2007;Banco de la República;Colombia;AFD-089; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Especial de fotografía del primer concurso internacional;GeoMundo;1992;América S.A;México;AFD-090; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Como dibujar al carbon, sangria y cretas;Parramón, José M.;1990;Parramón Editores;España;AFD-091; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Santander en la escultura de Pinto Maldonado;Posada Correa, Oscar;2008;Unibiblos;Colombia;AFD-092; Cultura y espacio urbano;Arte, Fotografía y Dibujo
El impresionismo y los inicios de la pintura moderna. Miró;Lubar, Robert & Green Christopher;1999;Planeta de Agostini;España;AFD-093; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Manuel Hernández. Papel, pintura y escultura;Hernández Gómez, Manuel;2006;Panamericana Formas e Impresos S.A;Colombia;AFD-094; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura El Barroco I;Salvat;1985;Salvat editores S.A;España;AFD-095; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura El Barroco II;Salvat;;Salvat editores S.A;España;AFD-096; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura El Barroco III;Salvat;;Salvat editores S.A;España;AFD-097; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura El Barroco IV;Salvat;;Salvat editores S.A;España;AFD-098; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura El Barroco V;Salvat;;Salvat editores S.A;España;AFD-099; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura El Renacimiento I;Salvat;;Salvat editores S.A;España;AFD-100; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura El Renacimiento III;Salvat;;Salvat editores S.A;España;AFD-101; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura El Renacimiento IV;Salvat;;Salvat editores S.A;España;AFD-102; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura El Renacimiento V;Salvat;;Salvat editores S.A;España;AFD-103; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura Del Neoclasicismo al Realismo I;Salvat;;Salvat editores S.A;España;AFD-104; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura Del Neoclasicismo al Realismo II;Salvat;;Salvat editores S.A;España;AFD-105; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura Del Neoclasicismo al Realismo III;Salvat;;Salvat editores S.A;España;AFD-106; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura Del Neoclasicismo al Realismo IV;Salvat;;Salvat editores S.A;España;AFD-107; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pintura Del Neoclasicismo al Realismo V;Salvat;;Salvat editores S.A;España;AFD-108; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Gramatica del Arte;J.J. Beljon;1993;Celeste Ediciones;España;AFD-109; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Botero Museum;Banco de la Republica;2022;Banco de la Republica;Colombia;AFD-110; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Dynamic anatomy;Burne Hogarth;1990;Watson Guptill;EE.UU;AFD-111; Cultura y espacio urbano;Arte, Fotografía y Dibujo
;;;;;;;
Concurso Nacional de Arquitectura y Urbanismo Carlos Lleras Restrepo;Fondo Nacional de Ahorro;;Escala;Colombia;TUR-001; Cultura y espacio urbano;Teoría Urbana
La Transformación de Bogotá;Durán Dussán, Hernando;1982;Editorial Gaudi;España;TUR-002; Cultura y espacio urbano;Teoría Urbana
Crecimiento urbano interior. Transformación de la primera periferia. Barcelona, 1950 - 2004;Ateaga Arredondo, Isabel;2009;Universidad de los Andes;Colombia;TUR-003; Cultura y espacio urbano;Teoría Urbana
Fortificaciones del Caribe;Memorias de la reunión de expertos;1996;Colcultura;Colombia;TUR-004; Cultura y espacio urbano;Teoría Urbana
Ciudades Amables, visión Colombia II Centenario. Propuesta para discusión;Departamento Nacional de Planeación;2006;DPN;Colombia;TUR-005; Cultura y espacio urbano;Teoría Urbana
Ciudad Salitre 1987 - 1997;Fideicomicio Ciudad Salitre;1997;Panamericana Formas e Impresos S.A;Colombia;TUR-006; Cultura y espacio urbano;Teoría Urbana
La bicicleta en la ciudad. Manual de políticas y diseño para favorecer el uso de la bicicleta como medio de transporte;Sanz, Alfonso, Pérez Senderos, Rodrigo, Fernández Tomás;1997;Izquierdo S.A;Colombia;TUR-007; Cultura y espacio urbano;Teoría Urbana
Cuatro ciudades. El proceso de urbanización dependiente;Nolasco Armas, Margarita;1981;Instituto Nacional de Antropología e Historia;México;TUR-008; Cultura y espacio urbano;Teoría Urbana
Recinto Urbano. La humanización de la ciudad;Samper Gnecco, Gernán;1997;Escala;Colombia;TUR-009; Cultura y espacio urbano;Teoría Urbana
Vivienda social. Miradas actuales a retos recientes;Torchópulis Sierra, Doris;2003;CEJA;Colombia;TUR-010; Cultura y espacio urbano;Teoría Urbana
Desarrollo urbano en cifras No. 2;Ministerio de Desarrollo Económico;1997;CENAC;Colombia;TUR-011; Cultura y espacio urbano;Teoría Urbana
Desarrollo urbano en cifras No. 3;Ministerio de Desarrollo Económico;1997;CENAC;Colombia;TUR-012; Cultura y espacio urbano;Teoría Urbana
Desarrollo urbano en cifras No. 4;Mnisterio de Desarrollo Económico;1998;CENAC;Colombia;TUR-013;;
Desarrollo urbano en cifras No. 5;Mnisterio de Desarrollo Económico;1998;CENAC;Colombia;TUR-014; Cultura y espacio urbano;Teoría Urbana
Modelos de desarrollo urbano;Harris, Britton;1975;Oikos-yau S.A;España;TUR-015; Cultura y espacio urbano;Teoría Urbana
Ensayos reflexiones sobre la creación. Línea de investigación en urbanismo;Universidad Nacional;2005;Escuela de Urbanismo;Colombia;TUR-016; Cultura y espacio urbano;Teoría Urbana
Espacio, historia, sentido. El semanálisis como historiografía urbana;Niño R. Álvaro;2003;Universidad Piloto de Colombia;Colombia;TUR-017; Cultura y espacio urbano;Teoría Urbana
Paisaje Cultural Cafetero. Excepcional fusión entre naturaleza, cultura y trabajo colectivo;Ministerio de Cultura;2005;Escala;Colombia;TUR-018; Cultura y espacio urbano;Teoría Urbana
Cartilla del Espacio. Planeación Distrital.;Sociedad Colombiana de Arquitectos;;SCA;Colombia;TUR-019; Cultura y espacio urbano;Teoría Urbana
Centros Históricos América Latina. Testimonios de una identidad cultural;Universidad de los Andes;1991;Escala;Colombia;TUR-020; Cultura y espacio urbano;Teoría Urbana
Arquitectura urbana elementos de teoría y diseño;Martínez Caro, Carlos y De las Rivas Juan Luis;1985;Eunsa Ediciones Universidad de navarra S.A;España;TUR-021; Cultura y espacio urbano;Teoría Urbana
Morfología urbana o el significado de las formas urbanas. Ensayo sobre la historia de las formas urbanas;Gómez Z., J. Delio;1990;;;TUR-022; Cultura y espacio urbano;Teoría Urbana
El significado de las ciudades;Aymonino, Carlo;1981;Blume;España;TUR-023; Cultura y espacio urbano;Teoría Urbana
El enigma de la catedral de Charles;Charpentier, Louis;1972;Plaza & Janes S.A;España;TUR-024; Cultura y espacio urbano;Teoría Urbana
Urbanismo Hispano - Americano Siglo XVI - XVII - XVIII;Salcedo S. Jaime;1996;CEJA;Colombia;TUR-025; Cultura y espacio urbano;Teoría Urbana
Manual de manejo del espacio público calles y plazas;SENA, CEAL;1991;SENA;Colombia;TUR-026; Cultura y espacio urbano;Teoría Urbana
La plaza de mayo. Escenario de la vida argentina;Gutiérrez, Ramón y Berjman, Sonia;1995;Fundación de Boston;Argentina;TUR-027; Cultura y espacio urbano;Teoría Urbana
Piel y Pellejo de Ciudad. El cimarronaje urbano en el caribe colombiano;Castillo, Rene Julio;2002;Universidad Piloto de Colombia;Colombia;TUR-028; Cultura y espacio urbano;Teoría Urbana
Por qué la Historia;Tuñón de Lara, Manuel;1981;Aula Abierta Salvat;España;TUR-029; Cultura y espacio urbano;Teoría Urbana
